"date","total_amount_usd","total_amount_usd_diff","part_of_usd","part_of_usd_diff","ppi","ppi_diff","inflation","inflation_diff","avg_sal_uah","avg_sal_uah_diff","ipi","ipi_diff","fx_reserves","fx_reserves_diff","agro_ppi","agro_ppi_diff","gdp_pers_uah","gdp_pers_uah_diff","gdp_pers_usd","gdp_pers_usd_diff","unemployment","unemployment_diff","bop","bop_diff","rsi","rsi_diff","fdi","fdi_diff","gov_budg","gov_budg_diff","int_trade","int_trade_diff","state_debt_uah","state_debt_uah_diff","state_debt_usd","state_debt_usd_diff","exrate","ex_rate_diff"
"04.01.2012","738.29","0","614.69","0","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"05.01.2012","750.7","12.41","645.63","30.94","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"06.01.2012","477.66","-273.04","421.4","-224.23","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"07.01.2012","477.66","0","421.4","0","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"08.01.2012","477.66","0","421.4","0","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"09.01.2012","477.66","0","421.4","0","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"10.01.2012","722.5","244.84","637.21","215.81","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"11.01.2012","702.51","-19.99","519.05","-118.16","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"12.01.2012","1130.08","427.57","917.03","397.98","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
"13.01.2012","696.79","-433.29","494.66","-422.37","99.2","0","100.2","0","2722","0","86.2","0","31364.11","0","111.8","0","28813","0","3570","0","8.6","0","-2532","0","89.5","0","1623","0","1460.4","0","-6748","0","473121.62","0","59215.7","0","7.9898","0"
